campaign,archive,compressed_bytes,uncompressed_bytes,file_count,sha256
bounded_gas_contention,bounded_gas_contention.zip,76405,504763,16,28fd7c0261e3dbf26c0a06ae41cca8b67f9cb1dad198db87bd9613d8f2598b75
competitor_extension,competitor_extension.zip,3534675,9099930,52,ba24968f1ccabf87db308df1b0060e9afc1bf39c90def1b11fa373147d6ebb7f
dependency_dag_retained,dependency_dag_retained.zip,1529,4740,3,f70a2977997f6fc6e7f67b4b1aaa1654b303b8096f26f0cfd808f15dc3f32908
feature_ablation_retained,feature_ablation_retained.zip,2754,22890,3,30fd2630aaaa78cdaec569e616dea882cc2b5abf33b969508e628ace4be8ea96
flower_mnist,flower_mnist.zip,179199,314373,8,4044b97f5c9238c142a70077fb17db7b39c113f81166a1e4c6479cb3a32e13cb
network_smoke,network_smoke.zip,260758,1257660,18,dc828301431d274fbdb2923e334407caf1f7c2f4d4091c40654c3023ede0630b
root_depth_sensitivity,root_depth_sensitivity.zip,90897,634859,14,018ac1baa8c833283ea1c53567b83f19c00b9fb98c557de8928a29490c5e49b6
root_only_ablation,root_only_ablation.zip,387576,1646064,10,a510b24793e4376a16c38bc7f22997663c3ddf3af548d7d1b6c97d9d3ea37cf3
smt_offchain,smt_offchain.zip,6614,26419,4,4230d68dad837d3a1f08776d917b9f8acce6464356c7fc922b40616fc18dfbf3
stable_core,stable_core.zip,2778110,8680011,93,daaa739f3aafe8f2619dd31afbbf80c2f628ebe12770bd418d855dd7ad9c5b61
targeted_extension,targeted_extension.zip,2794465,12209229,118,be94f2f7d9d51bd816050e87a0e9dae5eb215c700fb616376615f780a76f1ae8
watcher_extension,watcher_extension.zip,19106,69614,10,4d9ec896fbdb8a6a2bf1264137f0d16b4cd3a890787e17ba9cc1b86d4d26130f
