block_gas_limit,flood_count,runs,success_rate,honest_latency_ms_median,honest_latency_ms_p95,honest_block_offset_median,honest_block_offset_p95,honest_blocks_after_first_flood_median,flood_block_span_median,flood_gas_total_median,flood_in_honest_block_median,honest_block_utilization_median,flood_broadcast_ms_median
5000000,0,5,1.0,947.101547,956.8061242,1.0,1.0,0.0,0.0,0.0,0.0,0.0065678,0.000422
5000000,10,5,1.0,840.461924,937.7364571999999,1.0,1.0,0.0,1.0,1995798.0,10.0,0.4057274,32.368739
5000000,25,5,1.0,832.129728,840.2932480000001,1.0,1.0,0.0,2.0,4989429.0,24.0,0.9645374,73.449041
5000000,50,5,1.0,830.332338,840.6722692,1.0,1.0,0.0,3.0,9978894.0,24.0,0.9645422,146.293866
5000000,100,5,1.0,726.775197,738.6278159999999,1.0,1.0,0.0,5.0,19957800.0,24.0,0.964535,259.689862
10000000,0,5,1.0,847.719757,852.0046896,1.0,1.0,0.0,0.0,0.0,0.0,0.0032839,0.000838
10000000,10,5,1.0,846.70729,929.3080097999999,1.0,1.0,0.0,1.0,1995798.0,10.0,0.2028637,44.794335
10000000,25,5,1.0,837.64854,842.31168,1.0,1.0,0.0,1.0,4989453.0,25.0,0.5022292,76.697281
10000000,50,5,1.0,834.158081,840.2602492000001,1.0,1.0,0.0,2.0,9978882.0,49.0,0.981214,148.258084
10000000,100,5,1.0,732.048667,735.1095364,1.0,1.0,0.0,3.0,19957860.0,49.0,0.98122,278.472492
30000000,0,5,1.0,844.464224,854.2139702,1.0,1.0,0.0,0.0,0.0,0.0,0.0010946333333333334,0.000973
30000000,10,5,1.0,837.159114,847.0677962,1.0,1.0,0.0,1.0,1995786.0,10.0,0.06762083333333334,49.025412
30000000,25,5,1.0,841.985621,843.3246772,1.0,1.0,0.0,1.0,4989477.0,25.0,0.16741053333333333,69.245004
30000000,50,5,1.0,840.593325,842.4140229999999,1.0,1.0,0.0,1.0,9978918.0,50.0,0.3337252333333333,148.773596
30000000,100,5,1.0,734.770089,742.9912062,1.0,1.0,0.0,1.0,19957824.0,100.0,0.6663554333333334,266.880364
