design,validators,clients,total_ms_median,total_ms_q1,total_ms_q3,gas_median,gas_q1,gas_q3,tx_median,tx_q1,tx_q3,blocks_median,blocks_q1,blocks_q3,calldata_median,calldata_q1,calldata_q3,verify_ms_median,verify_ms_q1,verify_ms_q3,runs,success_rate
contestfl,4,10,7001.8084364999995,6977.99432175,7007.06919125,1308345.0,1308333.0,1308345.0,14.0,14.0,14.0,7.0,7.0,7.0,2168.0,2168.0,2168.0,0.0,0.0,0.0,10,1.0
contestfl,4,50,6990.421188,6986.7718939999995,7007.961040499999,5500029.0,5500029.0,5500041.0,54.0,54.0,54.0,7.0,7.0,7.0,8728.0,8728.0,8728.0,0.0,0.0,0.0,10,1.0
contestfl,4,100,8985.928461,8980.95083675,8996.631831749999,10771652.0,10771646.0,10771682.0,105.0,105.0,105.0,9.0,9.0,9.0,17092.0,17092.0,17092.0,0.0,0.0,0.0,10,1.0
eager_full,4,10,5974.274029,5966.89224825,6036.380113,1109193.0,1109172.0,1109202.0,15.0,15.0,15.0,6.0,6.0,6.0,2332.0,2332.0,2332.0,90.58006449999999,84.52074275000001,98.332687,10,1.0
eager_full,4,50,5984.255752,5977.7798385,6021.333693500001,4310815.0,4310785.0,4310830.0,55.0,55.0,55.0,6.0,6.0,6.0,8892.0,8892.0,8892.0,496.559544,491.34348850000003,507.59461,10,1.0
eager_full,4,100,9993.8911685,9243.0481235,10001.16085275,8340670.0,8340625.0,8340691.0,106.0,106.0,106.0,10.0,9.25,10.0,17256.0,17256.0,17256.0,1419.3257095,1281.90567175,1436.31445575,10,1.0
ledger_audit,4,10,3960.4499324999997,3951.3556405,4052.24692,715396.0,715396.0,715408.0,13.0,13.0,13.0,4.0,4.0,4.0,1268.0,1268.0,1268.0,0.0,0.0,0.0,10,1.0
ledger_audit,4,50,3975.174702,3970.894269,4041.4953455,2799092.0,2799080.0,2799122.0,53.0,53.0,53.0,4.0,4.0,4.0,5268.0,5268.0,5268.0,0.0,0.0,0.0,10,1.0
ledger_audit,4,100,4997.6591375,4948.883581,5036.1720635,5403748.0,5403736.0,5403781.0,103.0,103.0,103.0,5.0,5.0,5.0,10268.0,10268.0,10268.0,0.0,0.0,0.0,10,1.0
plain_fl,4,10,0.096718,0.09390175,0.104846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0
plain_fl,4,50,0.15657349999999998,0.15050625,0.16347224999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0
plain_fl,4,100,0.2709555,0.25767125,0.29085174999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0
single_shot,4,10,6983.842578,6963.17332275,7013.871393,1077330.0,1077321.0,1077330.0,14.0,14.0,14.0,7.0,7.0,7.0,2136.0,2136.0,2136.0,0.0,0.0,0.0,10,1.0
single_shot,4,50,6998.349264500001,6978.712501,7014.912334500001,4365610.0,4365589.0,4365622.0,54.0,54.0,54.0,7.0,7.0,7.0,8696.0,8696.0,8696.0,0.0,0.0,0.0,10,1.0
single_shot,4,100,9003.063148000001,8993.9215875,9012.435115999999,8505803.0,8505803.0,8505821.0,105.0,105.0,105.0,9.0,9.0,9.0,17060.0,17060.0,17060.0,0.0,0.0,0.0,10,1.0
