clients,dispute_rate,design,expected_gas,expected_latency_ms,modelled
10,0.0,ledger_audit,715396.0,3960.4499324999997,True
10,0.0,eager_full,1109193.0,5974.274029,True
10,0.0,single_shot,1077330.0,6983.842578,True
10,0.0,contestfl,1308345.0,7001.8084364999995,True
10,0.01,ledger_audit,715396.0,3960.4499324999997,True
10,0.01,eager_full,1109193.0,5974.274029,True
10,0.01,single_shot,1079753.8,6994.2261957499995,True
10,0.01,contestfl,1311552.94,7031.856156805,True
10,0.05,ledger_audit,715396.0,3960.4499324999997,True
10,0.05,eager_full,1109193.0,5974.274029,True
10,0.05,single_shot,1089449.0,7035.7606667499995,True
10,0.05,contestfl,1324384.7,7152.047038025,True
10,0.1,ledger_audit,715396.0,3960.4499324999997,True
10,0.1,eager_full,1109193.0,5974.274029,True
10,0.1,single_shot,1101568.0,7087.6787555,True
10,0.1,contestfl,1340424.4,7302.285639549999,True
10,0.25,ledger_audit,715396.0,3960.4499324999997,True
10,0.25,eager_full,1109193.0,5974.274029,True
10,0.25,single_shot,1137925.0,7243.43302175,True
10,0.25,contestfl,1388543.5,7753.001444125,True
10,0.5,ledger_audit,715396.0,3960.4499324999997,True
10,0.5,eager_full,1109193.0,5974.274029,True
10,0.5,single_shot,1198520.0,7503.0234655,True
10,0.5,contestfl,1468742.0,8504.19445175,True
10,1.0,ledger_audit,715396.0,3960.4499324999997,True
10,1.0,eager_full,1109193.0,5974.274029,True
10,1.0,single_shot,1319710.0,8022.204353,True
10,1.0,contestfl,1629139.0,10006.580467,True
50,0.0,ledger_audit,2799092.0,3975.174702,True
50,0.0,eager_full,4310815.0,5984.255752,True
50,0.0,single_shot,4365610.0,6998.349264500001,True
50,0.0,contestfl,5500029.0,6990.421188,True
50,0.01,ledger_audit,2799092.0,3975.174702,True
50,0.01,eager_full,4310815.0,5984.255752,True
50,0.01,single_shot,4368033.8,7008.338498055001,True
50,0.01,contestfl,5503236.82,7020.33727254,True
50,0.05,ledger_audit,2799092.0,3975.174702,True
50,0.05,eager_full,4310815.0,5984.255752,True
50,0.05,single_shot,4377729.0,7048.295432275,True
50,0.05,contestfl,5516068.1,7140.0016107,True
50,0.1,ledger_audit,2799092.0,3975.174702,True
50,0.1,eager_full,4310815.0,5984.255752,True
50,0.1,single_shot,4389848.0,7098.241600050001,True
50,0.1,contestfl,5532107.2,7289.5820334,True
50,0.25,ledger_audit,2799092.0,3975.174702,True
50,0.25,eager_full,4310815.0,5984.255752,True
50,0.25,single_shot,4426205.0,7248.080103375,True
50,0.25,contestfl,5580224.5,7738.3233015000005,True
50,0.5,ledger_audit,2799092.0,3975.174702,True
50,0.5,eager_full,4310815.0,5984.255752,True
50,0.5,single_shot,4486800.0,7497.81094225,True
50,0.5,contestfl,5660420.0,8486.225415,True
50,1.0,ledger_audit,2799092.0,3975.174702,True
50,1.0,eager_full,4310815.0,5984.255752,True
50,1.0,single_shot,4607990.0,7997.27262,True
50,1.0,contestfl,5820811.0,9982.029642,True
100,0.0,ledger_audit,5403748.0,4997.6591375,True
100,0.0,eager_full,8340670.0,9993.8911685,True
100,0.0,single_shot,8505803.0,9003.063148000001,True
100,0.0,contestfl,10771652.0,8985.928461,True
100,0.01,ledger_audit,5403748.0,4997.6591375,True
100,0.01,eager_full,8340670.0,9993.8911685,True
100,0.01,single_shot,8508227.1,9013.059508725,True
100,0.01,contestfl,10774860.24,9016.10398377,True
100,0.05,ledger_audit,5403748.0,4997.6591375,True
100,0.05,eager_full,8340670.0,9993.8911685,True
100,0.05,single_shot,8517923.5,9053.044951625001,True
100,0.05,contestfl,10787693.2,9136.80607485,True
100,0.1,ledger_audit,5403748.0,4997.6591375,True
100,0.1,eager_full,8340670.0,9993.8911685,True
100,0.1,single_shot,8530044.0,9103.02675525,True
100,0.1,contestfl,10803734.4,9287.683688699999,True
100,0.25,ledger_audit,5403748.0,4997.6591375,True
100,0.25,eager_full,8340670.0,9993.8911685,True
100,0.25,single_shot,8566405.5,9252.972166125,True
100,0.25,contestfl,10851858.0,9740.31653025,True
100,0.5,ledger_audit,5403748.0,4997.6591375,True
100,0.5,eager_full,8340670.0,9993.8911685,True
100,0.5,single_shot,8627008.0,9502.88118425,True
100,0.5,contestfl,10932064.0,10494.7045995,True
100,1.0,ledger_audit,5403748.0,4997.6591375,True
100,1.0,eager_full,8340670.0,9993.8911685,True
100,1.0,single_shot,8748213.0,10002.6992205,True
100,1.0,contestfl,11092476.0,12003.480738,True
