design,fault,outcome
plain_fl,bad_admission,FAULTY_FINALIZED
plain_fl,bad_omission,FAULTY_FINALIZED
plain_fl,bad_aggregate,FAULTY_FINALIZED
plain_fl,dependent_fault,FAULTY_FINALIZED
plain_fl,correction_laundering,FAULTY_FINALIZED
plain_fl,resolver_unavailable,NOT_APPLICABLE
ledger_audit,bad_admission,DETECTED_ONLY
ledger_audit,bad_omission,DETECTED_ONLY
ledger_audit,bad_aggregate,DETECTED_ONLY
ledger_audit,dependent_fault,DETECTED_ONLY
ledger_audit,correction_laundering,DETECTED_ONLY
ledger_audit,resolver_unavailable,NOT_APPLICABLE
eager_full,bad_admission,PREVENTED
eager_full,bad_omission,PREVENTED
eager_full,bad_aggregate,PREVENTED
eager_full,dependent_fault,PREVENTED
eager_full,correction_laundering,PREVENTED
eager_full,resolver_unavailable,SAFE_ABORT
single_shot,bad_admission,CORRECTED
single_shot,bad_omission,CORRECTED
single_shot,bad_aggregate,CORRECTED
single_shot,dependent_fault,FAULTY_FINALIZED
single_shot,correction_laundering,FAULTY_FINALIZED
single_shot,resolver_unavailable,STUCK
contestfl,bad_admission,CORRECTED
contestfl,bad_omission,CORRECTED
contestfl,bad_aggregate,CORRECTED
contestfl,dependent_fault,CORRECTED
contestfl,correction_laundering,CORRECTED
contestfl,resolver_unavailable,SAFE_ABORT
