clients,update_bytes,dispute_rate,design,expected_verify_ms
100,4096,0.0,eager_full,0.611317
100,4096,0.0,contestfl,0.0
100,4096,0.01,eager_full,0.611317
100,4096,0.01,contestfl,0.00611317
100,4096,0.05,eager_full,0.611317
100,4096,0.05,contestfl,0.030565850000000002
100,4096,0.1,eager_full,0.611317
100,4096,0.1,contestfl,0.061131700000000004
100,4096,0.25,eager_full,0.611317
100,4096,0.25,contestfl,0.15282925
100,4096,0.5,eager_full,0.611317
100,4096,0.5,contestfl,0.3056585
100,4096,1.0,eager_full,0.611317
100,4096,1.0,contestfl,0.611317
100,262144,0.0,eager_full,18.688271
100,262144,0.0,contestfl,0.0
100,262144,0.01,eager_full,18.688271
100,262144,0.01,contestfl,0.18688271
100,262144,0.05,eager_full,18.688271
100,262144,0.05,contestfl,0.93441355
100,262144,0.1,eager_full,18.688271
100,262144,0.1,contestfl,1.8688271
100,262144,0.25,eager_full,18.688271
100,262144,0.25,contestfl,4.67206775
100,262144,0.5,eager_full,18.688271
100,262144,0.5,contestfl,9.3441355
100,262144,1.0,eager_full,18.688271
100,262144,1.0,contestfl,18.688271
100,1048576,0.0,eager_full,70.931342
100,1048576,0.0,contestfl,0.0
100,1048576,0.01,eager_full,70.931342
100,1048576,0.01,contestfl,0.70931342
100,1048576,0.05,eager_full,70.931342
100,1048576,0.05,contestfl,3.5465671000000003
100,1048576,0.1,eager_full,70.931342
100,1048576,0.1,contestfl,7.093134200000001
100,1048576,0.25,eager_full,70.931342
100,1048576,0.25,contestfl,17.7328355
100,1048576,0.5,eager_full,70.931342
100,1048576,0.5,contestfl,35.465671
100,1048576,1.0,eager_full,70.931342
100,1048576,1.0,contestfl,70.931342
100,10485760,0.0,eager_full,816.245514
100,10485760,0.0,contestfl,0.0
100,10485760,0.01,eager_full,816.245514
100,10485760,0.01,contestfl,8.16245514
100,10485760,0.05,eager_full,816.245514
100,10485760,0.05,contestfl,40.8122757
100,10485760,0.1,eager_full,816.245514
100,10485760,0.1,contestfl,81.6245514
100,10485760,0.25,eager_full,816.245514
100,10485760,0.25,contestfl,204.0613785
100,10485760,0.5,eager_full,816.245514
100,10485760,0.5,contestfl,408.122757
100,10485760,1.0,eager_full,816.245514
100,10485760,1.0,contestfl,816.245514
