clients,update_bytes,artifact_bytes,runs,hash_ms_median,aggregate_ms_median,verification_ms_median,verification_ms_q1,verification_ms_q3,verification_ms_p95,throughput_mib_s_median,peak_rss_kib_max
10,4096,40960,15,0.039555,0.016506,0.062803,0.062379000000000004,0.0727385,0.1770220999999999,621.9846185691766,40532
10,262144,2621440,15,1.61644,0.446373,2.570514,2.4191295,2.6623735,2.8219974,972.5681322879393,41688
10,1048576,10485760,8,6.42431,2.132254,10.517942999999999,10.1146365,10.965331749999999,11.53735005,951.0540203760543,46552
10,10485760,104857600,3,59.262359,26.929108,105.669281,104.037482,105.708891,105.740579,946.3488258238456,101684
50,4096,204800,15,0.212256,0.085352,0.303883,0.26973250000000004,0.355215,0.4408119999999998,642.7226926152499,101684
50,262144,13107200,15,8.021543,1.474566,9.853097,9.752324999999999,10.070980500000001,10.3813412,1268.6366530239172,101684
50,1048576,52428800,8,29.4442665,5.233966000000001,35.9478895,35.793377500000005,36.461856,38.7341305,1390.90386111219,101684
50,10485760,524288000,3,289.81454,103.125233,411.51307,409.941874,420.821051,428.2674358,1215.0282371347282,101684
100,4096,409600,15,0.428416,0.175472,0.611317,0.567631,0.7307535000000001,0.7861148,638.9892641624558,101684
100,262144,26214400,15,15.631407,2.783229,18.688271,18.302992500000002,19.4470665,21.5222417,1337.7374504040529,101684
100,1048576,104857600,8,58.877120000000005,10.66881,70.931342,69.59627775,71.60896325,76.39903444999999,1409.814069264944,101684
100,10485760,1048576000,3,592.083454,207.139447,816.245514,815.0226634999999,817.1765949999999,817.9214598,1225.121587620756,101684
