clients,depth,repetition,operation,wall_ms,cpu_ms,proof_bytes,verified
10,32,0,build_and_root,0.272922,0.272428,0,True
10,32,0,single_update_and_root,0.251492,0.250993,0,True
10,32,0,proof_generation,0.27129,0.270659,1057,True
10,32,0,proof_verification,0.022467,0.021921,1057,True
10,32,1,build_and_root,0.276832,0.276353,0,True
10,32,1,single_update_and_root,0.254433,0.253857,0,True
10,32,1,proof_generation,0.251479,0.250866,1057,True
10,32,1,proof_verification,0.021899,0.021436,1057,True
10,32,2,build_and_root,0.273504,0.272969,0,True
10,32,2,single_update_and_root,0.457805,0.45622,0,True
10,32,2,proof_generation,0.399316,0.397291,1057,True
10,32,2,proof_verification,0.124998,0.122547,1057,True
10,32,3,build_and_root,0.656173,0.654836,0,True
10,32,3,single_update_and_root,0.280443,0.279718,0,True
10,32,3,proof_generation,0.251539,0.250986,1057,True
10,32,3,proof_verification,0.02194,0.021455,1057,True
10,32,4,build_and_root,0.273828,0.273357,0,True
10,32,4,single_update_and_root,0.247126,0.246182,0,True
10,32,4,proof_generation,0.248254,0.247714,1057,True
10,32,4,proof_verification,0.021312,0.020829,1057,True
10,32,5,build_and_root,0.283579,0.283088,0,True
10,32,5,single_update_and_root,0.268877,0.268241,0,True
10,32,5,proof_generation,0.269046,0.268447,1057,True
10,32,5,proof_verification,0.023253,0.022682,1057,True
10,32,6,build_and_root,0.298163,0.292692,0,True
10,32,6,single_update_and_root,0.789643,0.78899,0,True
10,32,6,proof_generation,0.268115,0.267556,1057,True
10,32,6,proof_verification,0.023264,0.022732,1057,True
10,32,7,build_and_root,0.290728,0.290168,0,True
10,32,7,single_update_and_root,0.268427,0.267796,0,True
10,32,7,proof_generation,0.325728,0.324881,1057,True
10,32,7,proof_verification,0.027346,0.0268,1057,True
10,32,8,build_and_root,0.343787,0.343138,0,True
10,32,8,single_update_and_root,0.328727,0.327732,0,True
10,32,8,proof_generation,0.294284,0.293635,1057,True
10,32,8,proof_verification,0.02339,0.022902,1057,True
10,32,9,build_and_root,0.288631,0.288115,0,True
10,32,9,single_update_and_root,0.267631,0.267023,0,True
10,32,9,proof_generation,0.265999,0.265464,1057,True
10,32,9,proof_verification,0.023149,0.022683,1057,True
10,32,10,build_and_root,0.286573,0.286014,0,True
