clients,depth,operation,runs,wall_ms_median,wall_ms_p95,cpu_ms_median,cpu_ms_p95,proof_bytes,success_rate
10,32,build_and_root,30,0.2892055,0.5841313999999999,0.288694,0.5836200999999999,0,1.0
10,32,proof_generation,30,0.2705195,0.32402745,0.269926,0.32324614999999995,1057,1.0
10,32,proof_verification,30,0.0232585,0.027352599999999998,0.022737,0.02679145,1057,1.0
10,32,single_update_and_root,30,0.268029,0.6872562499999996,0.26740949999999997,0.6858143999999995,0,1.0
100,32,build_and_root,30,2.612686,3.1290111499999993,2.5810035,3.12849065,0,1.0
100,32,proof_generation,30,2.621293,3.2089564500000005,2.6185915,3.20833275,1057,1.0
100,32,proof_verification,30,0.023743,0.028252549999999994,0.023231,0.027662299999999997,1057,1.0
100,32,single_update_and_root,30,2.5232194999999997,2.97622895,2.521663,2.97460425,0,1.0
500,32,build_and_root,30,12.333636,14.015044449999998,12.286342000000001,14.003277149999999,0,1.0
500,32,proof_generation,30,11.725222500000001,14.018041149999998,11.717620499999999,13.970459099999996,1057,1.0
500,32,proof_verification,30,0.027962,0.048421899999999934,0.027366,0.047455299999999936,1057,1.0
500,32,single_update_and_root,30,11.825314500000001,13.08250745,11.8117255,13.0096801,0,1.0
