adapter,scenario,validators,clients,verdict,runs,evidence_valid_rate,generation_ms_median,generation_cpu_ms_median,verification_ms_median,verification_cpu_ms_median,verification_ms_p95,proof_bytes_median,artifact_bytes_median
admission_receipt,bad_admission,4,10,REVISED,5,1.0,0.053236,0.052269,8.637698,6.100742,15.2248096,355.0,0.0
admission_receipt,bad_admission,4,50,REVISED,5,1.0,0.092957,0.090858,9.715699,6.246826,17.1840622,356.0,0.0
admission_receipt,bad_admission,4,100,REVISED,5,1.0,0.036597,0.035905,7.599673,5.452627,15.595136799999999,356.0,0.0
admission_receipt,challenge_flooding,4,10,UPHELD,50,1.0,0.0254035,0.025613999999999998,7.2283930000000005,4.947672,12.02559475,355.0,0.0
admission_receipt,challenge_flooding,4,50,UPHELD,100,1.0,0.021739,0.021920000000000002,6.596633,4.436529,10.73689125,356.0,0.0
admission_receipt,challenge_flooding,4,100,UPHELD,526,1.0,0.019385,0.0195385,5.5858989999999995,3.9722575,7.83643025,356.0,0.0
admission_receipt,concurrent_moot,4,10,REVISED,5,1.0,0.050089,0.048899,8.883051,6.215511,12.6917486,355.0,0.0
admission_receipt,concurrent_moot,4,50,REVISED,5,1.0,0.056693,0.055687,9.452622,6.099151,16.5718966,356.0,0.0
admission_receipt,concurrent_moot,4,100,REVISED,5,1.0,0.038835,0.038277,9.667023,6.315668,11.571071,356.0,0.0
admission_receipt,correction_laundering,4,10,REVISED,5,1.0,0.04264,0.041733,10.199102,6.829348,15.304053,355.0,0.0
admission_receipt,correction_laundering,4,50,REVISED,5,1.0,0.03837,0.037695,7.720591,4.778653,13.0146918,356.0,0.0
admission_receipt,correction_laundering,4,100,REVISED,5,1.0,0.036374,0.035578,8.798777,5.387506,14.5268664,356.0,0.0
deterministic_aggregate_replay,bad_aggregate,4,10,REVISED,5,1.0,0.032947,0.032191,0.070774,0.071015,0.13402899999999998,259.0,40960.0
deterministic_aggregate_replay,bad_aggregate,4,50,REVISED,5,1.0,0.067798,0.066916,0.298234,0.299027,0.33832260000000003,259.0,204800.0
deterministic_aggregate_replay,bad_aggregate,4,100,REVISED,5,1.0,0.030518,0.029715,0.226632,0.227108,0.3030424,260.0,409600.0
deterministic_aggregate_replay,concurrent_moot,4,10,REVISED,5,1.0,0.02167,0.021874,0.063895,0.064125,0.1865924,258.0,36864.0
deterministic_aggregate_replay,concurrent_moot,4,50,REVISED,5,1.0,0.023628,0.023719,0.122089,0.122371,0.1838108,259.0,200704.0
deterministic_aggregate_replay,concurrent_moot,4,100,REVISED,5,1.0,0.02562,0.025333,0.19126,0.191612,0.2192292,259.0,405504.0
deterministic_aggregate_replay,correction_laundering,4,10,REVISED,5,1.0,0.041477,0.040832,0.072907,0.073178,0.1376606,259.0,40960.0
deterministic_aggregate_replay,correction_laundering,4,50,REVISED,5,1.0,0.035891,0.035308,0.140494,0.140735,0.384897,259.0,204800.0
deterministic_aggregate_replay,correction_laundering,4,100,REVISED,5,1.0,0.031681,0.040893,0.279048,0.279418,0.47035079999999996,260.0,409600.0
deterministic_aggregate_replay,resolver_fallback,4,10,REVISED,5,1.0,0.032394,0.031038,0.076833,0.077386,0.1539808,259.0,40960.0
deterministic_aggregate_replay,resolver_fallback,4,50,REVISED,5,1.0,0.031494,0.032155,0.138509,0.138773,0.23917519999999998,259.0,204800.0
deterministic_aggregate_replay,resolver_fallback,4,100,REVISED,5,1.0,0.029835,0.029169,0.203806,0.204063,0.3160378,260.0,409600.0
deterministic_aggregate_replay,resolver_timeout_abort,4,10,REVISED,5,1.0,0.071071,0.069661,0.154462,0.155268,0.1892436,259.0,40960.0
deterministic_aggregate_replay,resolver_timeout_abort,4,50,REVISED,5,1.0,0.030346,0.029777,0.119042,0.119307,0.3296182,259.0,204800.0
deterministic_aggregate_replay,resolver_timeout_abort,4,100,REVISED,5,1.0,0.035379,0.034753,0.244322,0.244945,0.420145,260.0,409600.0
sparse_merkle_inclusion,bad_injection,4,10,REVISED,5,1.0,0.771567,0.770768,0.06461,0.064769,0.140781,2051.0,0.0
sparse_merkle_inclusion,bad_injection,4,50,REVISED,5,1.0,2.59644,2.595748,0.04854,0.048683,0.061436199999999996,2051.0,0.0
sparse_merkle_inclusion,bad_injection,4,100,REVISED,5,1.0,5.939296,5.939424,0.060436,0.060717,0.0698332,2051.0,0.0
sparse_merkle_inclusion,bad_omission,4,10,REVISED,5,1.0,0.619867,0.619196,0.061633,0.061746,0.14775659999999996,2051.0,0.0
sparse_merkle_inclusion,bad_omission,4,50,REVISED,5,1.0,2.46708,2.466848,0.049616,0.049825,0.0548026,2051.0,0.0
sparse_merkle_inclusion,bad_omission,4,100,REVISED,5,1.0,5.619089,5.618601,0.053077,0.053241,0.0633518,2051.0,0.0
