campaign_tag,validators,clients,scenario,batch_size,challenge_blocks,flood_count,flood_parallelism,network_rtt_ms,update_dim,runs,success_rate,total_ms_median,total_ms_p95,gas_median,gas_p95,tx_median,blocks_median,retries_median,challenges_median,calldata_median
capacity_b100,4,10,logging_only,100,1,20,20,0,1024,3,1.0,4002.762821,4029.6793613,715396.0,715406.8,13.0,4.0,0.0,0.0,1268.0
capacity_b100,4,10,nominal,100,1,20,20,0,1024,3,1.0,6988.084001,6994.2912398,1308333.0,1308333.0,14.0,7.0,0.0,0.0,2168.0
capacity_b100,4,50,logging_only,100,1,20,20,0,1024,3,1.0,3959.150179,4061.9124724,2799068.0,2799078.8,53.0,4.0,0.0,0.0,5268.0
capacity_b100,4,50,nominal,100,1,20,20,0,1024,3,1.0,6928.727527,7063.945102899999,5500065.0,5500065.0,54.0,7.0,0.0,0.0,8728.0
capacity_b100,4,100,logging_only,100,1,20,20,0,1024,3,1.0,4940.635458,4967.6732319,5403724.0,5403724.0,103.0,5.0,0.0,0.0,10268.0
capacity_b100,4,100,nominal,100,1,20,20,0,1024,3,1.0,8031.662928,8077.0178034,10739727.0,10739813.4,104.0,8.0,0.0,0.0,16928.0
capacity_b100,4,200,logging_only,100,1,20,20,0,1024,3,1.0,6972.868875,6992.4818478,10613036.0,10613046.8,203.0,7.0,0.0,0.0,20268.0
capacity_b100,4,200,nominal,100,1,20,20,0,1024,3,1.0,11003.407755,11004.886012199999,21251042.0,21251074.4,205.0,11.0,0.0,0.0,33492.0
capacity_b100,4,500,logging_only,100,1,20,20,0,1024,3,1.0,12968.739323,12994.2182411,26240840.0,26240850.8,503.0,13.0,0.0,0.0,50268.0
capacity_b100,4,500,nominal,100,1,20,20,0,1024,3,1.0,19975.639268,19991.3513258,52784927.0,52784937.8,508.0,20.0,0.0,0.0,83184.0
capacity_b25,4,10,logging_only,25,1,20,20,0,1024,3,1.0,3984.835967,4051.1378446999997,715420.0,715420.0,13.0,4.0,0.0,0.0,1268.0
capacity_b25,4,10,nominal,25,1,20,20,0,1024,3,1.0,6978.920378,7030.1043374,1308333.0,1308343.8,14.0,7.0,0.0,0.0,2168.0
capacity_b25,4,50,logging_only,25,1,20,20,0,1024,3,1.0,4006.066166,4018.7852873,2799080.0,2799112.4,53.0,4.0,0.0,0.0,5268.0
capacity_b25,4,50,nominal,25,1,20,20,0,1024,3,1.0,7975.215893,8057.8260056,5531924.0,5531945.6,55.0,8.0,0.0,0.0,8892.0
capacity_b25,4,100,logging_only,25,1,20,20,0,1024,3,1.0,4991.599644,4994.785833,5403724.0,5403778.0,103.0,5.0,0.0,0.0,10268.0
capacity_b25,4,100,nominal,25,1,20,20,0,1024,3,1.0,11031.363939,11046.361916099999,10835424.0,10835445.6,107.0,11.0,0.0,0.0,17420.0
capacity_b25,4,200,logging_only,25,1,20,20,0,1024,3,1.0,6994.835526,7050.6727167,10613036.0,10613090.0,203.0,7.0,0.0,0.0,20268.0
capacity_b25,4,200,nominal,25,1,20,20,0,1024,3,1.0,17037.526233,17840.0218269,21442412.0,21442433.6,211.0,17.0,0.0,0.0,34476.0
capacity_b25,4,500,logging_only,25,1,20,20,0,1024,3,1.0,12969.009527,13001.024130799999,26240924.0,26241010.4,503.0,13.0,0.0,0.0,50268.0
capacity_b25,4,500,nominal,25,1,20,20,0,1024,3,1.0,35967.499194,36041.4440643,53263520.0,53263574.0,523.0,36.0,0.0,0.0,85644.0
capacity_b50,4,10,logging_only,50,1,20,20,0,1024,3,1.0,3962.606119,4033.0202569000003,715408.0,715408.0,13.0,4.0,0.0,0.0,1268.0
capacity_b50,4,10,nominal,50,1,20,20,0,1024,3,1.0,6972.487379,7071.872798599999,1308333.0,1308354.6,14.0,7.0,0.0,0.0,2168.0
capacity_b50,4,50,logging_only,50,1,20,20,0,1024,3,1.0,4020.938213,4056.0218816,2799116.0,2799126.8,53.0,4.0,0.0,0.0,5268.0
capacity_b50,4,50,nominal,50,1,20,20,0,1024,3,1.0,6954.343285,6959.2860481,5500053.0,5500074.6,54.0,7.0,0.0,0.0,8728.0
capacity_b50,4,100,logging_only,50,1,20,20,0,1024,3,1.0,5003.478365,5089.0147862,5403772.0,5403782.8,103.0,5.0,0.0,0.0,10268.0
capacity_b50,4,100,nominal,50,1,20,20,0,1024,3,1.0,8934.83059,9020.7603193,10771658.0,10771712.0,105.0,9.0,0.0,0.0,17092.0
capacity_b50,4,200,logging_only,50,1,20,20,0,1024,3,1.0,7016.881783,7030.767142299999,10613000.0,10613054.0,203.0,7.0,0.0,0.0,20268.0
capacity_b50,4,200,nominal,50,1,20,20,0,1024,3,1.0,12986.276854,13057.7361214,21314808.0,21314851.2,207.0,13.0,0.0,0.0,33820.0
capacity_b50,4,500,logging_only,50,1,20,20,0,1024,3,1.0,13005.42131,13010.5210511,26240840.0,26240850.8,503.0,13.0,0.0,0.0,50268.0
capacity_b50,4,500,nominal,50,1,20,20,0,1024,3,1.0,24994.975064,24999.0519254,52944450.0,52944536.4,513.0,25.0,0.0,0.0,84004.0
