campaign_tag,validators,clients,scenario,batch_size,challenge_blocks,flood_count,flood_parallelism,network_rtt_ms,update_dim,runs,success_rate,total_ms_median,total_ms_p95,gas_median,gas_p95,tx_median,blocks_median,retries_median,challenges_median,calldata_median
core,4,10,artifact_unavailable_abort,50,1,20,20,0,1024,5,1.0,5995.574275,6046.285172399999,1506067.0,1506088.6,15.0,6.0,0.0,1.0,2396.0
core,4,10,bad_admission,50,1,20,20,0,1024,5,1.0,9975.696991,10056.8622886,1652737.0,1652746.6,17.0,10.0,1.0,1.0,2724.0
core,4,10,bad_aggregate,50,1,20,20,0,1024,5,1.0,9977.170216,10045.4460318,1629127.0,1629160.6,17.0,10.0,1.0,1.0,2724.0
core,4,10,bad_injection,50,1,20,20,0,1024,5,1.0,10999.400182,11035.4293902,1814993.0,1815002.6,19.0,11.0,1.0,1.0,5260.0
core,4,10,bad_omission,50,1,20,20,0,1024,5,1.0,10987.474271,11007.1732758,1817673.0,1817697.0,19.0,11.0,1.0,1.0,5260.0
core,4,10,challenge_flooding,50,10,20,20,0,1024,5,1.0,15998.646182,16026.893286999999,3972285.0,3972318.6,34.0,16.0,0.0,10.0,6088.0
core,4,10,concurrent_moot,50,1,20,20,0,1024,5,1.0,9999.011598,10006.1604156,1863882.0,1863891.6,18.0,10.0,1.0,2.0,2952.0
core,4,10,correction_laundering,50,1,20,20,0,1024,5,1.0,11017.4953,11067.0030596,1973209.0,1973240.2,20.0,11.0,1.0,2.0,3280.0
core,4,10,logging_only,50,1,20,20,0,1024,5,1.0,3997.795372,4024.7502828,715408.0,715420.0,13.0,4.0,0.0,0.0,1268.0
core,4,10,nominal,50,1,20,20,0,1024,5,1.0,7014.911188,7023.468099199999,1308357.0,1308357.0,14.0,7.0,0.0,0.0,2168.0
core,4,10,resolver_fallback,50,1,20,20,0,1024,5,1.0,7966.428814,7984.8682754,1628865.0,1628865.0,17.0,8.0,0.0,1.0,2724.0
