campaign_tag,validators,clients,scenario,phase,tx_count,gas_median,gas_total,latency_ms_median,calldata_total
capacity_b100,4,10,logging_only,finalize,3,30177.0,90531,944.029696,108
capacity_b100,4,10,logging_only,open,3,45426.0,136278,939.591614,204
capacity_b100,4,10,logging_only,publish_state,3,118869.0,356595,942.272403,492
capacity_b100,4,10,logging_only,submit,30,52096.0,1562784,955.8040265,3000
capacity_b100,4,10,nominal,decide,3,534873.0,1604619,938.90048,2412
capacity_b100,4,10,nominal,finalize,3,32851.0,98553,1047.310882,108
capacity_b100,4,10,nominal,open,3,70569.0,211707,939.785998,492
capacity_b100,4,10,nominal,publish_initial,3,125076.0,375216,942.785806,492
capacity_b100,4,10,nominal,submit,30,54500.0,1634904,967.0626685,3000
capacity_b100,4,50,logging_only,finalize,3,30177.0,90531,1037.447453,108
capacity_b100,4,50,logging_only,open,3,45426.0,136278,939.906669,204
capacity_b100,4,50,logging_only,publish_state,3,118869.0,356595,732.854618,492
capacity_b100,4,50,logging_only,submit,150,52096.0,7813800,835.7498235,15000
capacity_b100,4,50,nominal,decide,3,2546737.0,7640211,743.2271,10092
capacity_b100,4,50,nominal,finalize,3,32851.0,98553,940.881937,108
capacity_b100,4,50,nominal,open,3,70569.0,211707,942.016272,492
capacity_b100,4,50,nominal,publish_initial,3,125076.0,375216,943.994671,492
capacity_b100,4,50,nominal,submit,150,54500.0,8174496,827.4611745,15000
capacity_b100,4,100,logging_only,finalize,3,30177.0,90531,940.626973,108
capacity_b100,4,100,logging_only,open,3,45426.0,136278,940.635496,204
capacity_b100,4,100,logging_only,publish_state,3,118869.0,356607,733.992528,492
capacity_b100,4,100,logging_only,submit,300,52096.0,15627732,738.0752689999999,30000
capacity_b100,4,100,nominal,decide,3,5061603.0,15184809,845.308446,19692
capacity_b100,4,100,nominal,finalize,3,32851.0,98553,1046.396303,108
capacity_b100,4,100,nominal,open,3,70569.0,211707,943.255413,492
capacity_b100,4,100,nominal,publish_initial,3,125076.0,375216,938.258721,492
capacity_b100,4,100,nominal,submit,300,54500.0,16348980,739.6402435,30000
capacity_b100,4,200,logging_only,finalize,3,30177.0,90531,1031.796946,108
capacity_b100,4,200,logging_only,open,3,45426.0,136278,920.353807,204
capacity_b100,4,200,logging_only,publish_state,3,118845.0,356535,731.593611,492
