campaign_tag,validators,clients,scenario,batch_size,challenge_blocks,flood_count,flood_parallelism,network_rtt_ms,update_dim,runs,success_rate,total_ms_median,total_ms_p95,gas_median,gas_p95,tx_median,blocks_median,retries_median,challenges_median,calldata_median,nominal_ms,nominal_gas,nominal_blocks,latency_delta_ms,gas_delta,block_delta
core,4,100,artifact_unavailable_abort,50,1,20,20,0,1024,5,1.0,7947.98962,7988.4316142,10969392.0,10969452.0,106.0,8.0,0.0,1.0,17320.0,9024.698573,10771694.0,9.0,-1076.7089529999994,197698.0,-1.0
core,4,100,bad_admission,50,1,20,20,0,1024,5,1.0,12016.301139,12055.951764000001,11116050.0,11116081.2,108.0,12.0,1.0,1.0,17648.0,9024.698573,10771694.0,9.0,2991.6025659999996,344356.0,3.0
core,4,100,bad_aggregate,50,1,20,20,0,1024,5,1.0,11988.399573,11998.137875,11092488.0,11092562.4,108.0,12.0,1.0,1.0,17648.0,9024.698573,10771694.0,9.0,2963.701000000001,320794.0,3.0
core,4,100,bad_injection,50,1,20,20,0,1024,5,1.0,12962.763565,13011.4681502,11278200.0,11278238.4,110.0,13.0,1.0,1.0,20184.0,9024.698573,10771694.0,9.0,3938.0649919999996,506506.0,4.0
core,4,100,bad_omission,50,1,20,20,0,1024,5,1.0,12998.925215,13022.4030582,11281046.0,11281089.2,110.0,13.0,1.0,1.0,20184.0,9024.698573,10771694.0,9.0,3974.2266419999996,509352.0,4.0
core,4,100,challenge_flooding,50,10,20,20,0,1024,5,1.0,17983.362036,18024.936645,16099850.0,16099859.6,145.0,18.0,0.0,20.0,24932.0,9024.698573,10771694.0,9.0,8958.663462999999,5328156.0,9.0
core,4,100,concurrent_moot,50,1,20,20,0,1024,5,1.0,11991.568022,12045.5238886,11327195.0,11327204.6,109.0,12.0,1.0,2.0,17876.0,9024.698573,10771694.0,9.0,2966.869449,555501.0,3.0
core,4,100,correction_laundering,50,1,20,20,0,1024,5,1.0,12948.748636,13059.5166012,11436534.0,11436606.0,111.0,13.0,1.0,2.0,18204.0,9024.698573,10771694.0,9.0,3924.0500630000006,664840.0,4.0
core,4,100,logging_only,50,1,20,20,0,1024,5,1.0,4970.509774,5009.6334642,5403760.0,5403781.6,103.0,5.0,0.0,0.0,10268.0,9024.698573,10771694.0,9.0,-4054.1887989999996,-5367934.0,-4.0
core,4,100,nominal,50,1,20,20,0,1024,5,1.0,9024.698573,9050.92049,10771694.0,10771703.6,105.0,9.0,0.0,0.0,17092.0,9024.698573,10771694.0,9.0,0.0,0.0,0.0
core,4,100,resolver_fallback,50,1,20,20,0,1024,5,1.0,10000.924725,10041.1332654,11092214.0,11092235.6,108.0,10.0,0.0,1.0,17648.0,9024.698573,10771694.0,9.0,976.2261520000011,320520.0,1.0
core,4,100,resolver_timeout_abort,50,1,20,20,0,1024,5,1.0,10997.842572,11058.9307118,10981336.0,10981357.6,106.0,11.0,0.0,1.0,17288.0,9024.698573,10771694.0,9.0,1973.143999,209642.0,2.0
