design_label,validators,clients,runs,gas_total_median,gas_total_q1,gas_total_q3,gas_total_min,gas_total_max,calldata_bytes_median,calldata_bytes_q1,calldata_bytes_q3,calldata_bytes_min,calldata_bytes_max,block_span_median,block_span_q1,block_span_q3,block_span_min,block_span_max,total_ms_median,total_ms_q1,total_ms_q3,total_ms_min,total_ms_max,verification_ms_median,verification_ms_q1,verification_ms_q3,verification_ms_min,verification_ms_max
Audit-only,4,10,3,715396.0,715324.0,715408.0,715252,715420,1268.0,1268.0,1268.0,1268,1268,4.0,4.0,4.0,4,4,4013.990541,3990.5566675,4043.1845405000004,3967.122794,4072.37854,0.0,0.0,0.0,0.0,0.0
Audit-only,4,25,3,1496800.0,1496776.0,1496800.0,1496752,1496800,2768.0,2768.0,2768.0,2768,2768,4.0,4.0,4.0,4,4,3955.612525,3954.3024065,4011.9850349999997,3952.992288,4068.357545,0.0,0.0,0.0,0.0,0.0
Audit-only,4,50,3,2799080.0,2799062.0,2799092.0,2799044,2799104,5268.0,5268.0,5268.0,5268,5268,4.0,4.0,4.0,4,4,3982.981976,3963.7867619999997,4029.0171515,3944.591548,4075.052327,0.0,0.0,0.0,0.0,0.0
Audit-only,4,75,3,4101432.0,4101396.0,4101444.0,4101360,4101456,7768.0,7768.0,7768.0,7768,7768,5.0,5.0,5.0,5,5,4999.661293,4993.8177555,5008.7465950000005,4987.974218,5017.831897,0.0,0.0,0.0,0.0,0.0
Audit-only,4,100,3,5403688.0,5403670.0,5403730.0,5403652,5403772,10268.0,10268.0,10268.0,10268,10268,5.0,5.0,5.0,5,5,4992.884721,4957.085927,5035.860403000001,4921.287133,5078.836085,0.0,0.0,0.0,0.0,0.0
Audit-only,4,150,3,8008344.0,8008344.0,8008422.0,8008344,8008500,15268.0,15268.0,15268.0,15268,15268,6.0,6.0,6.0,6,6,5985.028067,5970.7283895,6021.4888015,5956.428712,6057.949536,0.0,0.0,0.0,0.0,0.0
Audit-only,4,200,3,10612976.0,10612928.0,10613000.0,10612880,10613024,20268.0,20268.0,20268.0,20268,20268,7.0,7.0,7.0,7,7,6967.902722,6959.5195674999995,7010.2296325,6951.136413,7052.556543,0.0,0.0,0.0,0.0,0.0
Audit-only,4,300,3,15822252.0,15822252.0,15822258.0,15822252,15822264,30268.0,30268.0,30268.0,30268,30268,9.0,9.0,9.0,9,9,8965.195554,8944.8340515,9018.546878000001,8924.472549,9071.898202,0.0,0.0,0.0,0.0,0.0
Audit-only,4,500,3,26240876.0,26240828.0,26240960.0,26240780,26241044,50268.0,50268.0,50268.0,50268,50268,15.0,14.0,15.5,13,16,15071.936453,14014.157159,15496.322794,12956.377865,15920.709135,0.0,0.0,0.0,0.0,0.0
ContestFL,4,10,3,1308345.0,1308339.0,1308351.0,1308333,1308357,2168.0,2168.0,2168.0,2168,2168,7.0,7.0,7.0,7,7,7000.322454,6974.5943655,7010.439127,6948.866277,7020.5558,0.0,0.0,0.0,0.0,0.0
ContestFL,4,25,3,2880258.0,2880240.0,2880264.0,2880222,2880270,4628.0,4628.0,4628.0,4628,4628,7.0,7.0,7.0,7,7,6981.924952,6973.975463000001,7019.593723,6966.025974,7057.262494,0.0,0.0,0.0,0.0,0.0
ContestFL,4,50,3,5500041.0,5500029.0,5500047.0,5500017,5500053,8728.0,8728.0,8728.0,8728,8728,7.0,7.0,7.0,7,7,6994.906351,6982.3238495,7013.161878,6969.741348,7031.417405,0.0,0.0,0.0,0.0,0.0
ContestFL,4,75,3,8151875.0,8151851.0,8151881.0,8151827,8151887,12992.0,12992.0,12992.0,12992,12992,9.0,9.0,9.0,9,9,8991.788808,8989.4892215,8993.5079305,8987.189635,8995.227053,0.0,0.0,0.0,0.0,0.0
ContestFL,4,100,3,10771658.0,10771652.0,10771682.0,10771646,10771706,17092.0,17092.0,17092.0,17092,17092,9.0,9.0,9.0,9,9,8997.414572,8990.8171615,9031.7291365,8984.219751,9066.043701,0.0,0.0,0.0,0.0,0.0
ContestFL,4,150,3,16043323.0,16043317.0,16043329.0,16043311,16043335,25456.0,25456.0,25456.0,25456,25456,12.0,12.0,12.0,12,12,12002.404974,11983.0739255,12013.6434385,11963.742877,12024.881903,0.0,0.0,0.0,0.0,0.0
ContestFL,4,200,3,21314868.0,21314808.0,21314910.0,21314748,21314952,33820.0,33820.0,33820.0,33820,33820,13.0,13.0,13.5,13,14,13024.122333,13001.50045,13486.387917,12978.878567,13948.653501,0.0,0.0,0.0,0.0,0.0
ContestFL,4,300,3,31858090.0,31858072.0,31858108.0,31858054,31858126,50548.0,50548.0,50548.0,50548,50548,17.0,17.0,18.0,17,19,17025.595094,17011.148943,17994.830085499998,16996.702792,18964.065077,0.0,0.0,0.0,0.0,0.0
ContestFL,4,500,3,52944462.0,52944396.0,52944516.0,52944330,52944570,84004.0,84004.0,84004.0,84004,84004,25.0,25.0,25.0,25,25,24975.628747,24970.2839225,24981.8003635,24964.939098,24987.97198,0.0,0.0,0.0,0.0,0.0
Eager verification,4,10,3,1109193.0,1109187.0,1109199.0,1109181,1109205,2332.0,2332.0,2332.0,2332,2332,6.0,6.0,6.0,6,6,6006.434813,5971.082453499999,6029.1892435,5935.730094,6051.943674,81.302126,74.21941799999999,89.3690455,67.13671,97.435965
Eager verification,4,25,3,2309826.0,2309826.0,2309838.0,2309826,2309850,4792.0,4792.0,4792.0,4792,4792,6.0,6.0,6.0,6,6,5938.496705,5937.8881955,6012.490325999999,5937.279686,6086.483947,220.484655,205.8458395,230.99552649999998,191.207024,241.506398
Eager verification,4,50,3,4310809.0,4310809.0,4310839.0,4310809,4310869,8892.0,8892.0,8892.0,8892,8892,6.0,6.0,6.0,6,6,5996.093542,5996.0624915,6022.1790315,5996.031441,6048.264521,532.627405,529.3974975,551.9613125,526.16759,571.29522
Eager verification,4,75,3,6339675.0,6339675.0,6339693.0,6339675,6339711,13156.0,13156.0,13156.0,13156,13156,9.0,9.0,9.0,9,9,8949.421232,8928.321359000001,9016.469871000001,8907.221486,9083.51851,754.204705,749.0069935,798.0995330000001,743.809282,841.994361
Eager verification,4,100,3,8340670.0,8340646.0,8340676.0,8340622,8340682,17256.0,17256.0,17256.0,17256,17256,9.0,9.0,9.5,9,10,9066.431364,9015.597170000001,9554.6259885,8964.762976,10042.820613,1259.955567,1241.47427,1285.5160475,1222.992973,1311.076528
Eager verification,4,150,3,12370543.0,12370531.0,12370585.0,12370519,12370627,25620.0,25620.0,25620.0,25620,25620,13.0,13.0,13.0,13,13,12988.904728,12953.119912,13026.0348155,12917.335096,13063.164903,2386.18548,2371.0616915,2424.1829795000003,2355.937903,2462.180479
