flood_count,flood_parallelism,clients,validators,runs,gas_total_median,gas_total_q1,gas_total_q3,gas_total_min,gas_total_max,tx_count_median,tx_count_q1,tx_count_q3,tx_count_min,tx_count_max,block_span_median,block_span_q1,block_span_q3,block_span_min,block_span_max,resolution_block_span_median,resolution_block_span_q1,resolution_block_span_q3,resolution_block_span_min,resolution_block_span_max,total_ms_median,total_ms_q1,total_ms_q3,total_ms_min,total_ms_max
1,5,100,4,3,11038142.0,11038136.0,11038154.0,11038130,11038166,107.0,107.0,107.0,107,107,20.0,20.0,20.0,20,20,14.0,14.0,14.0,14,14,20002.502201,19975.02592,20019.4584055,19947.549639,20036.41461
1,20,100,4,3,11038070.0,11038028.0,11038082.0,11037986,11038094,107.0,107.0,107.0,107,107,20.0,20.0,20.5,20,21,14.0,14.0,14.0,14,14,20053.26378,20011.14869,20509.0227265,19969.0336,20964.781673
5,5,100,4,3,12103670.0,12103616.0,12103694.0,12103562,12103718,115.0,115.0,115.0,115,115,20.0,20.0,20.0,20,20,14.0,14.0,14.0,14,14,19993.041957,19980.5354705,20009.6411875,19968.028984,20026.240418
5,20,100,4,3,12103682.0,12103658.0,12103718.0,12103634,12103754,115.0,115.0,115.0,115,115,20.0,20.0,20.5,20,21,14.0,14.0,14.0,14,14,20014.799458,19983.3848355,20505.640587,19951.970213,20996.481716
10,5,100,4,3,13435754.0,13435706.0,13435760.0,13435658,13435766,125.0,125.0,125.0,125,125,20.0,20.0,20.0,20,20,14.0,14.0,14.0,14,14,19964.587616,19950.394238,20010.646525,19936.20086,20056.705434
10,20,100,4,3,13435766.0,13435718.0,13435772.0,13435670,13435778,125.0,125.0,125.0,125,125,20.0,20.0,20.0,20,20,14.0,14.0,14.0,14,14,19989.563126,19988.1116685,20000.1260175,19986.660211,20010.688909
20,5,100,4,3,16099802.0,16099784.0,16099814.0,16099766,16099826,145.0,145.0,145.0,145,145,20.0,20.0,20.0,20,20,14.0,14.0,14.0,14,14,20004.369043,19967.4043975,20036.929267,19930.439752,20069.489491
20,20,100,4,3,16099838.0,16099826.0,16099856.0,16099814,16099874,145.0,145.0,145.0,145,145,20.0,20.0,20.0,20,20,14.0,14.0,14.0,14,14,19983.254775,19951.0346925,20016.473926,19918.81461,20049.693077
50,5,100,4,3,24091970.0,24091946.0,24091970.0,24091922,24091970,205.0,205.0,205.0,205,205,20.0,20.0,20.0,20,20,14.0,14.0,14.0,14,14,20007.409964,19992.8638735,20007.603428,19978.317783,20007.796892
50,20,100,4,3,24091958.0,24091910.0,24091970.0,24091862,24091982,205.0,205.0,205.0,205,205,20.0,20.0,20.0,20,20,14.0,14.0,14.0,14,14,20010.149437,19981.2605125,20022.805906,19952.371588,20035.462375
100,5,100,4,3,37412378.0,37412312.0,37412414.0,37412246,37412450,305.0,305.0,305.0,305,305,30.0,30.0,30.0,30,30,23.0,23.0,23.0,23,23,30015.462913,30008.7730605,30029.879754499998,30002.083208,30044.296596
100,20,100,4,3,37412390.0,37412348.0,37412390.0,37412306,37412390,305.0,305.0,305.0,305,305,20.0,20.0,20.0,20,20,13.0,13.0,13.0,13,13,19971.689747,19958.289359000002,19996.0051685,19944.888971,20020.32059
