campaign_tag,scenario,clients,validators,phase_class,runs,tx_count_median,tx_count_q1,tx_count_q3,gas_total_median,gas_total_q1,gas_total_q3,calldata_bytes_median
target_affected_k1,affected_decisions,100,4,Challenge,3,1.0,1.0,1.0,202229.0,202229.0,202229.0,196.0
target_affected_k1,affected_decisions,100,4,Coordination,3,104.0,104.0,104.0,10738807.0,10738801.0,10738807.0,17056.0
target_affected_k1,affected_decisions,100,4,Finalization,3,1.0,1.0,1.0,32851.0,32851.0,32851.0,36.0
target_affected_k1,affected_decisions,100,4,Replacement,3,1.0,1.0,1.0,57409.0,57409.0,57415.0,164.0
target_affected_k1,affected_decisions,100,4,Resolution,3,1.0,1.0,1.0,84742.0,84742.0,84742.0,196.0
target_affected_k10,affected_decisions,100,4,Challenge,3,10.0,10.0,10.0,2022266.0,2022266.0,2022272.0,1960.0
target_affected_k10,affected_decisions,100,4,Coordination,3,104.0,104.0,104.0,10738807.0,10738801.0,10738831.0,17056.0
target_affected_k10,affected_decisions,100,4,Finalization,3,1.0,1.0,1.0,32851.0,32851.0,32851.0,36.0
target_affected_k10,affected_decisions,100,4,Replacement,3,1.0,1.0,1.0,57409.0,57409.0,57415.0,164.0
target_affected_k10,affected_decisions,100,4,Resolution,3,10.0,10.0,10.0,822457.0,822457.0,822469.0,1960.0
target_affected_k2,affected_decisions,100,4,Challenge,3,2.0,2.0,2.0,404458.0,404452.0,404458.0,392.0
target_affected_k2,affected_decisions,100,4,Coordination,3,104.0,104.0,104.0,10738795.0,10738783.0,10738801.0,17056.0
target_affected_k2,affected_decisions,100,4,Finalization,3,1.0,1.0,1.0,32851.0,32851.0,32851.0,36.0
target_affected_k2,affected_decisions,100,4,Replacement,3,1.0,1.0,1.0,57421.0,57421.0,57421.0,164.0
target_affected_k2,affected_decisions,100,4,Resolution,3,2.0,2.0,2.0,166713.0,166713.0,166713.0,392.0
target_affected_k20,affected_decisions,100,4,Challenge,3,20.0,20.0,20.0,4044508.0,4044502.0,4044514.0,3920.0
