clients,cache_mode,update_body_bytes,artifact_bytes,manifest_ms,read_ms,hash_ms,parse_ms,aggregate_ms,checkpoint_ms,detection_ms,challenge_package_ms,verification_ms,total_ms,cpu_ms,local_throughput_mib_s,verdict,challenge_hash,repetition
100,warm,1048576,104879600,0.12918,12.58381,58.573425,10.817503,11.066757,1.401399,0.00023,0.0,94.572304,95.345494,95.332594,1049.0373130266746,UPHELD,,0
100,warm,1048576,104879600,0.107089,11.979187,55.813822,10.400842,10.555516,1.445694,0.000265,0.018713,90.30241500000001,91.035576,91.03759,1098.7021253642745,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,1
100,warm,1048576,104879600,0.141708,12.125881,56.501541,10.530366,10.595555,1.377991,0.000312,0.0,91.27335399999998,91.990548,91.984628,1087.2962821676085,UPHELD,,2
100,warm,1048576,104879600,0.10878,12.121894,56.945511,10.688374,10.772994,1.411299,0.000251,0.01469,92.049103,92.816875,92.811817,1077.616336845654,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,3
100,warm,1048576,104879600,0.107525,12.243734,57.999544,10.822822,11.320459,1.458055,0.000706,0.0,93.952845,94.763414,94.765484,1055.4809774472765,UPHELD,,4
100,warm,1048576,104879600,0.120503,13.930031,65.661342,12.66773,12.838904,1.519365,0.000302,0.017824,106.738177,107.666247,107.668876,928.9910591474497,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,5
100,warm,1048576,104879600,0.131184,12.907453,62.15747,11.716692,11.975849,1.467995,0.000281,0.0,100.356924,101.213598,101.193795,988.2168286810725,UPHELD,,6
100,warm,1048576,104879600,0.114331,12.1833,57.964885,10.874701,11.031255,1.421485,0.000272,0.033698,93.59022900000001,94.388182,94.389962,1059.6769501817605,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,7
100,warm,1048576,104879600,0.111162,12.332523,57.70268,11.006273,10.967698,1.566402,0.000293,0.0,93.68703099999999,94.430616,94.433012,1059.20076635909,UPHELD,,8
100,warm,1048576,104879600,0.136882,13.772681,64.220846,13.101916,12.587819,1.820224,0.000465,0.018924,105.640833,106.609544,106.604109,938.1991244138605,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,9
